HDR,SYSTEM FREQUENCY DATA
FREQ,20181010141845,49.925
FREQ,20181010141900,49.900
FREQ,20181010141915,49.900
FREQ,20181010141930,49.895
FREQ,20181010141945,49.900
FREQ,20181010142000,49.887
FREQ,20181010142015,49.905
FREQ,20181010142030,49.910
FREQ,20181010142045,49.932
FREQ,20181010142100,49.897
FREQ,20181010142115,49.897
FREQ,20181010142130,49.882
FREQ,20181010142145,49.935
FREQ,20181010142200,49.917
FREQ,20181010142215,49.880
FREQ,20181010142230,49.862
FREQ,20181010142245,49.892
FREQ,20181010142300,49.902
FREQ,20181010142315,49.895
FREQ,20181010142330,49.890
FREQ,20181010142345,49.905
FREQ,20181010142400,49.912
FREQ,20181010142415,49.932
FREQ,20181010142430,49.912
FREQ,20181010142445,49.932
FREQ,20181010142500,49.915
FREQ,20181010142515,49.907
FREQ,20181010142530,49.932
FREQ,20181010142545,49.925
FREQ,20181010142600,49.927
FREQ,20181010142615,49.937
FREQ,20181010142630,49.925
FREQ,20181010142645,49.930
FREQ,20181010142700,49.947
FREQ,20181010142715,49.910
FREQ,20181010142730,49.937
FREQ,20181010142745,49.950
FREQ,20181010142800,49.992
FREQ,20181010142815,49.970
FREQ,20181010142830,49.947
FREQ,20181010142845,49.935
FREQ,20181010142900,49.940
