,settlementDate,settlementPeriod,powerSystemResourceType,quantity
419,2018-10-20,39,"""Wind Offshore""",1083.49
420,2018-10-20,39,"""Wind Onshore""",3080.332
421,2018-10-20,39,"""Other""",65
422,2018-10-20,39,"""Nuclear""",5377
423,2018-10-20,39,"""Fossil Oil""",0
424,2018-10-20,39,"""Fossil Gas""",16662
425,2018-10-20,39,"""Fossil Hard coal""",1753
426,2018-10-20,39,"""Hydro Run-of-river and poundage""",811
427,2018-10-20,39,"""Hydro Pumped Storage""",1730
428,2018-10-20,39,"""Biomass""",1744
429,2018-10-20,40,"""Solar""",4
430,2018-10-20,40,"""Wind Offshore""",1133.585
431,2018-10-20,40,"""Wind Onshore""",3147.259
432,2018-10-20,40,"""Other""",64
433,2018-10-20,40,"""Nuclear""",5378
434,2018-10-20,40,"""Fossil Oil""",0
435,2018-10-20,40,"""Fossil Gas""",16334
436,2018-10-20,40,"""Fossil Hard coal""",1481
437,2018-10-20,40,"""Hydro Run-of-river and poundage""",801
438,2018-10-20,40,"""Hydro Pumped Storage""",1433
439,2018-10-20,40,"""Biomass""",1767
440,2018-10-20,41,"""Solar""",2
441,2018-10-20,41,"""Wind Offshore""",1154.822
442,2018-10-20,41,"""Wind Onshore""",3144.345
443,2018-10-20,41,"""Other""",66
444,2018-10-20,41,"""Nuclear""",5381
445,2018-10-20,41,"""Fossil Oil""",0
446,2018-10-20,41,"""Fossil Gas""",16119
447,2018-10-20,41,"""Fossil Hard coal""",1268
448,2018-10-20,41,"""Hydro Run-of-river and poundage""",719
449,2018-10-20,41,"""Hydro Pumped Storage""",711
450,2018-10-20,41,"""Biomass""",1767
451,2018-10-20,42,"""Solar""",3
452,2018-10-20,42,"""Wind Offshore""",1147.084
453,2018-10-20,42,"""Wind Onshore""",3321.164
454,2018-10-20,42,"""Other""",64
455,2018-10-20,42,"""Nuclear""",5380
456,2018-10-20,42,"""Fossil Oil""",0
457,2018-10-20,42,"""Fossil Gas""",15304
458,2018-10-20,42,"""Fossil Hard coal""",1073
